title,author,instruments,genre,link
"Giacea nel proprio sangue, Cantata di Basso",by A. Amendola (?-?),for Voice (Bass) and Basso Continuo,Baroque,http://www.mutopiaproject.org/ftp/AmendolaA/Ernando/Ernando-mids.zip
"Ich ruf zu dir, Herr Jesus Christ",Anonymous,for Organ,Baroque,http://www.mutopiaproject.org/ftp/Anonymous/Ich_ruf/Ich_ruf.mid
"Lobt Gott, ihr Christen, allzugleich",Anonymous,for Organ,Baroque,http://www.mutopiaproject.org/ftp/Anonymous/Lobt_Gott/Lobt_Gott.mid
"2. Duke of Norfolk, or Paul's Steeple",Anonymous,for Violin,Baroque,http://www.mutopiaproject.org/ftp/Anonymous/division-violin-02/division-violin-02-mids.zip
4. Old Simon the King,Anonymous,for Violin,Baroque,http://www.mutopiaproject.org/ftp/Anonymous/division-violin-04/division-violin-04-mids.zip
23. Johnny Cock thy Beaver: A Scotch Tune to a Ground,Anonymous,for Violin,Baroque,http://www.mutopiaproject.org/ftp/Anonymous/division-violin-23/division-violin-23-mids.zip
27. Greensleeves to a Ground with Division,Anonymous,for Violin,Baroque,http://www.mutopiaproject.org/ftp/Anonymous/division-violin-two-27/division-violin-two-27.mid
Trio a due mandolini e Basso (Gimo 359),Anonymous,"for 2 Mandolins, Bass",Baroque,http://www.mutopiaproject.org/ftp/Anonymous/gimo-359/gimo-359-mids.zip
"Il Ratto di Proserpina, Cantata di Basso",by O. A. Ariosti (1666-1729),"for Voice (Bass), Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/AriostiOA/Proserpina/Proserpina-mids.zip
Geliebter Jesu - From Cantata No. 16,by J. S. Bach (1685-1750),"for Oboe da Caccia or English Horn or Viola, Tenore, Basso Continuo",Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV16/Cantata_16_no_5/Cantata_16_no_5-mids.zip
Die Freude Reget Sich,by J. S. Bach (1685-1750),"for Orchestra: Flute, Oboe, Violins, Viola, Choir (SATB), Soprano, Alto, Tenor, Continuo",Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV36b/bwv0036b/bwv0036b-mids.zip
Polonaise in F major,by J. S. Bach (1685-1750),for Piano,Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV117a/BWV-117a/BWV-117a.mid
Schafe KÃ¶nnen Sicher Weiden (Sheep Will Safely Graze),by J. S. Bach (1685-1750),"for Two flutes, soprano, and basso continuo",Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV208/Sheep/Sheep.mid
"Lobet den Herrn, alle Heiden (Psalm 117)",by J. S. Bach (1685-1750),for Voice (SATB) and Continuo,Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV230/bach_BWV_230_Lobet_den_Herrn_alle_Heiden/bach_BWV_230_Lobet_den_Herrn_alle_Heiden.mid
B Minor Mass - Aria,by J. S. Bach (1685-1750),"for Ensemble: Horn, 2 Bassoons, Bass, Continuo",Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV232/BachBMinorMass/BachBMinorMass.mid
"Brich an, o schÃ¶nes Morgenlicht",by J. S. Bach (1685-1750),for Choir (SATB),Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV248/Bach_BrichAn/Bach_BrichAn.mid
"Ach, was soll ich SÃ¼nder machen",by J. S. Bach (1685-1750),"for Harpsichord, Piano",Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV259/bwv-259/bwv-259.mid
Als der gÃ¼tige Gott vollenden wollt' sein Wort,by J. S. Bach (1685-1750),for Voice (SATB),Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV264/bwv-264/bwv-264.mid
Aus meines Herzens Grunde (Chorale 1),by J. S. Bach (1685-1750),"for Harpsichord, Piano",Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV269/bwv_269/bwv_269.mid
Christ Lag In Todesbanden,by J. S. Bach (1685-1750),for Choir (SATB),Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV277/Bach_ChristLag/Bach_ChristLag.mid
"Ich dank dir, lieber Herre",by J. S. Bach (1685-1750),"for Harpsichord, Piano",Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV347/bwv347/bwv347.mid
"Ermuntre dich, mein schwacher Geist",by J. S. Bach (1685-1750),for Piano,Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV454/bwv_454/bwv_454.mid
"Gott, wie gross ist deine GÃ¼te",by J. S. Bach (1685-1750),for Piano,Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV462/bwv_462/bwv_462.mid
Aria Bist Du Bei Mir,by J. S. Bach (1685-1750),for Trumpet,Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV508/BistDuBeiMir/BistDuBeiMir.mid
"Chorale setting ""Gib dich zufrieden und sei stille"" in F major",by J. S. Bach (1685-1750),for Piano,Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV510/BWV-510/BWV-510.mid
"Chorale setting ""Gib dich zufrieden und sei stille"" in D minor",by J. S. Bach (1685-1750),for Piano,Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV511/BWV-511/BWV-511.mid
"Chorale setting ""Gib dich zufrieden und sei stille"" in E minor",by J. S. Bach (1685-1750),for Piano,Baroque,http://www.mutopiaproject.org/ftp/BachJS/BWV512/BWV-512/BWV-512.mid
